84983,1,41.63112,-70.561116
85051,1,41.600073,-70.570764
85052,1,41.612063,-70.573487
85083,1,41.696818,-70.599475
85141,1,41.643672,-70.601733
85155,1,41.764127,-70.631456
85230,1,41.569574,-70.607497
85333,1,41.558612,-70.629918
169966,2,41.63112,-70.561116
170102,2,41.600073,-70.570764
170103,2,41.612063,-70.573487
170166,2,41.696818,-70.599475
170281,2,41.643672,-70.601733
170310,2,41.764127,-70.631456
170460,2,41.569574,-70.607497
170665,2,41.558612,-70.629918
254949,3,41.63112,-70.561116
255153,3,41.600073,-70.570764
255154,3,41.612063,-70.573487
255249,3,41.696818,-70.599475
255421,3,41.643672,-70.601733
255464,3,41.764127,-70.631456
255690,3,41.569574,-70.607497
255998,3,41.558612,-70.629918
340095,4,41.581418,-70.560231
340709,4,41.644623,-70.610854
509898,6,41.63112,-70.561116
510305,6,41.600073,-70.570764
510308,6,41.612063,-70.573487
510498,6,41.696818,-70.599475
510841,6,41.643672,-70.601733
510928,6,41.764127,-70.631456
511380,6,41.569574,-70.607497
511995,6,41.558612,-70.629918
594881,7,41.63112,-70.561116
595355,7,41.600073,-70.570764
595359,7,41.612063,-70.573487
595581,7,41.696818,-70.599475
595981,7,41.643672,-70.601733
596083,7,41.764127,-70.631456
596610,7,41.569574,-70.607497
597328,7,41.558612,-70.629918
680190,8,41.581418,-70.560231
681417,8,41.644623,-70.610854
765214,9,41.581418,-70.560231
766594,9,41.644623,-70.610854
935261,11,41.581418,-70.560231
936948,11,41.644623,-70.610854
1275356,15,41.581418,-70.560231
1277656,15,41.644623,-70.610854
1360379,16,41.581418,-70.560231
1362833,16,41.644623,-70.610854
1785498,21,41.581418,-70.560231
1788718,21,41.644623,-70.610854
2040569,24,41.581418,-70.560231
2044249,24,41.644623,-70.610854
2138101,25,41.523586,-70.668719
2214088,26,41.659924,-70.60939
2285052,27,41.76653,-70.505951
2380663,28,41.581418,-70.560231
2718520,33,41.89065,-69.988576
2720758,32,41.581418,-70.560231
2725665,32,41.644623,-70.610854
2973895,35,41.938328,-70.625364
3236727,38,41.644623,-70.610854
3411364,40,41.55288,-70.617019
3496710,41,41.562835,-70.619508
3577870,42,41.561976,-70.595604
3606060,43,41.668223,-70.297928
3749039,44,41.63979,-70.616664
4069319,47,41.64237,-70.947864
4193092,50,41.668223,-70.297928
4618569,54,41.524253,-70.670071
4752157,55,42.356902,-71.06235
4769913,56,41.644623,-70.610854
4939175,58,41.463994,-70.567745
4997466,59,41.617221,-70.490407
5077144,60,41.772237,-70.504208
